taxa,Maize Type
W606S,Non Stiff Stalk
W607S,Non Stiff Stalk
W611S,Non Stiff Stalk
W612S,Non Stiff Stalk
W613S,Non Stiff Stalk
W614S,Non Stiff Stalk
W64A,Non Stiff Stalk
W701BC,Non Stiff Stalk
W810G,Non Stiff Stalk
W817G,Non Stiff Stalk
W821G,Non Stiff Stalk
W9,Non Stiff Stalk
Wf9,Non Stiff Stalk
WIL900,Non Stiff Stalk
WIL901,Non Stiff Stalk
WIL903,Non Stiff Stalk
B-18,Flint/Popcorn
B-28,Flint/Popcorn
HP301,Flint/Popcorn
I29,Flint/Popcorn
IDS28,Flint/Popcorn
IDS69,Flint/Popcorn
IDS91,Flint/Popcorn
K47,Flint/Popcorn
NC262,Flint/Popcorn
NC290A,Flint/Popcorn
SG-30A,Flint/Popcorn
764,Stiff Stalk
790,Stiff Stalk
792,Stiff Stalk
793,Stiff Stalk
2369,Stiff Stalk
78010,Stiff Stalk
2FACC,Stiff Stalk
2FADB,Stiff Stalk
4N506,Stiff Stalk
6F629,Stiff Stalk
87916W,Stiff Stalk
A632,Stiff Stalk
A634,Stiff Stalk
A635,Stiff Stalk
A641,Stiff Stalk
A672,Stiff Stalk
A679,Stiff Stalk
A680,Stiff Stalk
AQA3,Stiff Stalk
AS6103,Stiff Stalk
B104,Stiff Stalk
B105,Stiff Stalk
B109,Stiff Stalk
B110,Stiff Stalk
B111,Stiff Stalk
B119,Stiff Stalk
B121,Stiff Stalk
B14,Stiff Stalk
B14A,Stiff Stalk
B37,Stiff Stalk
B47,Stiff Stalk
B68,Stiff Stalk
B73,Stiff Stalk
B76,Stiff Stalk
B84,Stiff Stalk
CH753-4,Stiff Stalk
CM105,Stiff Stalk
CO257,Stiff Stalk
CO258,Stiff Stalk
CR14,Stiff Stalk
DE811,Stiff Stalk
DJ7,Stiff Stalk
DK78002A,Stiff Stalk
DK78010,Stiff Stalk
DKFAPW,Stiff Stalk
DKFBHJ,Stiff Stalk
DKPB80,Stiff Stalk
F118,Stiff Stalk
FBLA,Stiff Stalk
FBLL,Stiff Stalk
H105W,Stiff Stalk
H114,Stiff Stalk
H122w,Stiff Stalk
H84,Stiff Stalk
H91,Stiff Stalk
ICI-441,Stiff Stalk
ICI-740,Stiff Stalk
ICI-893,Stiff Stalk
INB-101LFY,Stiff Stalk
LH1,Stiff Stalk
LH119,Stiff Stalk
LH132,Stiff Stalk
LH143,Stiff Stalk
LH145,Stiff Stalk
LH146Ht,Stiff Stalk
LH149,Stiff Stalk
LH190,Stiff Stalk
LH192,Stiff Stalk
LH193,Stiff Stalk
LH194,Stiff Stalk
LH195,Stiff Stalk
LH197,Stiff Stalk
LH198,Stiff Stalk
LH199,Stiff Stalk
LH200,Stiff Stalk
LH202,Stiff Stalk
LH204,Stiff Stalk
LH205,Stiff Stalk
LH206,Stiff Stalk
LH208,Stiff Stalk
LH209,Stiff Stalk
LH222,Stiff Stalk
LH223,Stiff Stalk
LH224,Stiff Stalk
LH227,Stiff Stalk
LH74,Stiff Stalk
LP1-NR-HT,Stiff Stalk
LP5,Stiff Stalk
MS221,Stiff Stalk
N192,Stiff Stalk
N201,Stiff Stalk
N209,Stiff Stalk
N217,Stiff Stalk
N218,Stiff Stalk
N28,Stiff Stalk
N28Ht,Stiff Stalk
N501,Stiff Stalk
N523,Stiff Stalk
N527,Stiff Stalk
N542,Stiff Stalk
N7A,Stiff Stalk
NC250,Stiff Stalk
